,female[0-9],male[0-9],female[10-19],male[10-19],female[20-29],male[20-29],female[30-39],male[30-39],female[40-49],male[40-49],female[50-59],male[50-59],female[60-102],male[60-102],population,"1-25,000","25,000-50,000","50,000-75,000","75,000-100,000","100,000-200,000","200,000-...",stadium_count,shoes_count,restaurant_count,gym_count,clothes_count,clinic_count
10003,0.02052691703555619,0.02065186348707697,0.07100528344995002,0.04892546051692132,0.16128801942024845,0.12794516635727546,0.09037198343567043,0.09811866342995859,0.047122661716407256,0.06347279737255462,0.0500856775667571,0.051870626874196774,0.08212551763529916,0.06648936170212766,56024.0,0.17703826955074875,0.13377703826955076,0.1444259567387687,0.11114808652246257,0.21896838602329452,0.2146422628951747,0.0,9.0,152.0,5.0,28.0,4.0
10009,0.032014605441178866,0.03318825696448074,0.03667661010318353,0.03739384158964579,0.1484180155508827,0.11974505680799387,0.08052553507098961,0.08090045152982216,0.06476274308442141,0.0653006666992681,0.0663928146445629,0.05816095326584837,0.10773142940975108,0.06878901983797088,61347.0,0.30050430139424505,0.20350044497181846,0.17205576980124593,0.11005636309700385,0.15129041827350934,0.0625927024621774,0.0,1.0,54.0,0.0,1.0,1.0
10021,0.04191973596754601,0.04670990809286975,0.023492470949554214,0.022850725401663954,0.10029566134170659,0.06403703788590681,0.10501707501547065,0.08365611606426623,0.06749787994774357,0.05624441337581078,0.06651234214205497,0.050101991703146845,0.16222410671311682,0.10944053539914281,43631.0,0.1513647642679901,0.11745244003308519,0.13192721257237386,0.10421836228287841,0.2055417700578991,0.2894954507857734,0.0,2.0,23.0,0.0,6.0,0.0
10028,0.0443056201679183,0.04452714826875789,0.032409561152832236,0.0312354622183824,0.10923550652400257,0.07119913160984472,0.0969628497374892,0.0790633791896502,0.0717972574821116,0.06371148180146652,0.06858510001993753,0.05467313528721118,0.13451186282979996,0.09778250371059569,45141.0,0.16080402010050251,0.12214920757634326,0.14650173946656359,0.11325860069578662,0.20873598763046,0.24855044453034403,0.0,0.0,32.0,0.0,9.0,2.0
10044,0.04579367121173141,0.043478260869565216,0.04227767772918275,0.04253494554497899,0.08361204013377926,0.07177772060715204,0.08661349798473544,0.08318326044078553,0.0675756796158134,0.07417888688791699,0.07006260183517708,0.07486493439670697,0.11439842209072978,0.09964840065174513,11661.0,0.2737819025522042,0.1740139211136891,0.14385150812064965,0.10440835266821345,0.19721577726218098,0.10672853828306264,0.0,0.0,2.0,2.0,0.0,0.0
10065,0.04226836070653858,0.04518128292531763,0.0210412147505423,0.020824295010845987,0.1058258444375581,0.06575766966222497,0.10263402541059807,0.08899907034397272,0.06488999070343973,0.06213201115587233,0.06538580725131701,0.05233963433529594,0.15295940502014255,0.10976138828633406,32270.0,0.14500941619585686,0.13245448838669177,0.1349654739485248,0.10546139359698682,0.20213433772755807,0.27997489014438165,0.0,1.0,22.0,0.0,3.0,1.0
10075,0.04345162895754374,0.04597833161058153,0.02901879713640366,0.02729604532751426,0.10757627962176027,0.059683779334634965,0.0987711037096589,0.07721756441177596,0.07132192488802114,0.06305271620535202,0.06833582175261284,0.05202710462845986,0.15255924352053904,0.10370965889514185,26121.0,0.15246015246015246,0.11850311850311851,0.14067914067914067,0.11434511434511435,0.21275121275121275,0.26126126126126126,0.0,0.0,17.0,0.0,3.0,1.0
10128,0.04451391990471937,0.04679668502803831,0.034588854151158754,0.032587299224190694,0.12030833870941061,0.08065770102393595,0.09958149306072486,0.0845781019965924,0.07218831158089756,0.06500918068582204,0.06740773824293253,0.053363770201644255,0.1168345656956644,0.08158404049426828,60453.0,0.1764179104477612,0.1417910447761194,0.14925373134328357,0.11014925373134328,0.19134328358208955,0.231044776119403,0.0,0.0,60.0,1.0,1.0,2.0
10023,0.041984983114200465,0.04526377914029968,0.03250926259877373,0.029000950850847567,0.08964228335355258,0.059690481655136234,0.1046099872126955,0.08806846126102495,0.07301878750122955,0.0681989573428637,0.06773992589920981,0.0598216334961802,0.13838158628151742,0.10206892029246861,60998.0,0.1750733137829912,0.1126099706744868,0.11143695014662756,0.09736070381231672,0.2155425219941349,0.2879765395894428,0.0,3.0,48.0,2.0,18.0,2.0
10024,0.04989626031071302,0.05281446620447683,0.03156048108226642,0.03284246748646324,0.07995546784069632,0.0535060641330567,0.0920162609854427,0.07865661319433902,0.07681797479884621,0.07410218781100822,0.07268525546952752,0.06683197543983942,0.13427120759745628,0.10404331764586812,59283.0,0.19389067524115755,0.12057877813504823,0.11607717041800643,0.09131832797427653,0.20192926045016077,0.27620578778135046,0.0,5.0,79.0,0.0,8.0,2.0
