"ZIP
code [1]",Size of adjusted gross income,Number of returns
10458,"$75,000 under $100,000",1130
10458,"$100,000 under $200,000",760
10458,"$200,000 or more",40
,,
10459,,"21,230"
10459,"$1 under $25,000",12480
10459,"$25,000 under $50,000",5840
10459,"$50,000 under $75,000",1890
10459,"$75,000 under $100,000",650
10459,"$100,000 under $200,000",350
10459,"$200,000 or more",20
,,
10460,,"24,880"
10460,"$1 under $25,000",14970
10460,"$25,000 under $50,000",6420
10460,"$50,000 under $75,000",2210
10460,"$75,000 under $100,000",770
10460,"$100,000 under $200,000",480
10460,"$200,000 or more",30
,,
10461,,"23,980"
10461,"$1 under $25,000",8690
10461,"$25,000 under $50,000",6040
10461,"$50,000 under $75,000",4130
10461,"$75,000 under $100,000",2260
10461,"$100,000 under $200,000",2530
10461,"$200,000 or more",330
,,
10462,,"39,800"
10462,"$1 under $25,000",16630
10462,"$25,000 under $50,000",10840
10462,"$50,000 under $75,000",6760
10462,"$75,000 under $100,000",3060
10462,"$100,000 under $200,000",2360
10462,"$200,000 or more",150
,,
10463,,"34,010"
10463,"$1 under $25,000",12800
10463,"$25,000 under $50,000",7360
10463,"$50,000 under $75,000",5010
10463,"$75,000 under $100,000",3130
10463,"$100,000 under $200,000",4270
10463,"$200,000 or more",1440
,,
10464,,"2,140"
10464,"$1 under $25,000",570
10464,"$25,000 under $50,000",390
10464,"$50,000 under $75,000",350
10464,"$75,000 under $100,000",250
10464,"$100,000 under $200,000",420
10464,"$200,000 or more",160
,,
10465,,"19,720"
10465,"$1 under $25,000",6330
10465,"$25,000 under $50,000",4370
10465,"$50,000 under $75,000",3280
10465,"$75,000 under $100,000",2150
10465,"$100,000 under $200,000",3060
10465,"$200,000 or more",530
,,
10466,,"33,030"
10466,"$1 under $25,000",15260
10466,"$25,000 under $50,000",9320
10466,"$50,000 under $75,000",4360
10466,"$75,000 under $100,000",2090
10466,"$100,000 under $200,000",1890
10466,"$200,000 or more",110
,,
10467,,"44,410"
10467,"$1 under $25,000",22520
10467,"$25,000 under $50,000",12310
10467,"$50,000 under $75,000",5640
10467,"$75,000 under $100,000",2140
10467,"$100,000 under $200,000",1690
10467,"$200,000 or more",110
,,
10468,,"35,750"
10468,"$1 under $25,000",20960
10468,"$25,000 under $50,000",9050
10468,"$50,000 under $75,000",3530
10468,"$75,000 under $100,000",1320
10468,"$100,000 under $200,000",840
10468,"$200,000 or more",50
,,
10469,,"32,600"
10469,"$1 under $25,000",13790
10469,"$25,000 under $50,000",8530
10469,"$50,000 under $75,000",4760
10469,"$75,000 under $100,000",2530
10469,"$100,000 under $200,000",2690
10469,"$200,000 or more",300
,,
10470,,"7,660"
10470,"$1 under $25,000",2960
10470,"$25,000 under $50,000",1840
10470,"$50,000 under $75,000",1210
10470,"$75,000 under $100,000",660
10470,"$100,000 under $200,000",860
10470,"$200,000 or more",130
,,
10471,,"9,890"
10471,"$1 under $25,000",2360
10471,"$25,000 under $50,000",1620
10471,"$50,000 under $75,000",1530
10471,"$75,000 under $100,000",1260
10471,"$100,000 under $200,000",2060
10471,"$200,000 or more",1060
,,
10472,,"28,690"
10472,"$1 under $25,000",16550
10472,"$25,000 under $50,000",7480
10472,"$50,000 under $75,000",2890
10472,"$75,000 under $100,000",1010
10472,"$100,000 under $200,000",720
10472,"$200,000 or more",40
,,
10473,,"27,960"
10473,"$1 under $25,000",12990
10473,"$25,000 under $50,000",7670
10473,"$50,000 under $75,000",3780
10473,"$75,000 under $100,000",1790
10473,"$100,000 under $200,000",1620
10473,"$200,000 or more",110
,,
10474,,"5,060"
10474,"$1 under $25,000",3010
10474,"$25,000 under $50,000",1380
10474,"$50,000 under $75,000",470
10474,"$75,000 under $100,000",130
10474,"$100,000 under $200,000",70
10474,"$200,000 or more",**
,,
10475,,"22,650"
10475,"$1 under $25,000",7370
10475,"$25,000 under $50,000",6360
10475,"$50,000 under $75,000",4630
10475,"$75,000 under $100,000",2400
10475,"$100,000 under $200,000",1790
10475,"$200,000 or more",100
,,
10501,,680
10501,"$1 under $25,000",170
10501,"$25,000 under $50,000",90
10501,"$50,000 under $75,000",70
10501,"$75,000 under $100,000",60
10501,"$100,000 under $200,000",150
10501,"$200,000 or more",140
,,
10502,,"2,840"
10502,"$1 under $25,000",700
10502,"$25,000 under $50,000",280
10502,"$50,000 under $75,000",250
10502,"$75,000 under $100,000",240
10502,"$100,000 under $200,000",640
10502,"$200,000 or more",730
,,
10504,,"5,420"
10504,"$1 under $25,000",1080
10504,"$25,000 under $50,000",380
10504,"$50,000 under $75,000",330
10504,"$75,000 under $100,000",270
10504,"$100,000 under $200,000",800
10504,"$200,000 or more",2560
,,
10505,,600
10505,"$1 under $25,000",190
10505,"$25,000 under $50,000",100
10505,"$50,000 under $75,000",50
10505,"$75,000 under $100,000",40
10505,"$100,000 under $200,000",100
10505,"$200,000 or more",120
,,
10506,,"2,780"
10506,"$1 under $25,000",700
10506,"$25,000 under $50,000",250
10506,"$50,000 under $75,000",190
10506,"$75,000 under $100,000",150
10506,"$100,000 under $200,000",440
10506,"$200,000 or more",1050
,,
10507,,"2,710"
10507,"$1 under $25,000",890
10507,"$25,000 under $50,000",490
10507,"$50,000 under $75,000",330
10507,"$75,000 under $100,000",200
10507,"$100,000 under $200,000",440
10507,"$200,000 or more",360
,,
10509,,"9,980"
10509,"$1 under $25,000",3080
10509,"$25,000 under $50,000",1710
10509,"$50,000 under $75,000",1260
10509,"$75,000 under $100,000",970
10509,"$100,000 under $200,000",2110
10509,"$200,000 or more",850
,,
10510,,"4,820"
10510,"$1 under $25,000",1090
10510,"$25,000 under $50,000",470
10510,"$50,000 under $75,000",400
10510,"$75,000 under $100,000",290
10510,"$100,000 under $200,000",1020
10510,"$200,000 or more",1550
,,
10511,,"1,140"
10511,"$1 under $25,000",340
10511,"$25,000 under $50,000",210
10511,"$50,000 under $75,000",170
10511,"$75,000 under $100,000",110
10511,"$100,000 under $200,000",230
10511,"$200,000 or more",80
,,
10512,,"12,490"
10512,"$1 under $25,000",3420
10512,"$25,000 under $50,000",2190
10512,"$50,000 under $75,000",1760
10512,"$75,000 under $100,000",1340
10512,"$100,000 under $200,000",2880
10512,"$200,000 or more",900
,,
10514,,"5,430"
10514,"$1 under $25,000",1240
10514,"$25,000 under $50,000",390
10514,"$50,000 under $75,000",330
10514,"$75,000 under $100,000",250
10514,"$100,000 under $200,000",840
10514,"$200,000 or more",2380
,,
10516,,"2,720"
10516,"$1 under $25,000",700
10516,"$25,000 under $50,000",420
10516,"$50,000 under $75,000",330
10516,"$75,000 under $100,000",280
10516,"$100,000 under $200,000",650
