SITE ID,STATUS,PPT_ID,ADDRESS,CITY,STATE,ZIP,BORO,LATITUDE,LONGITUDE,CROSS_STREET_1,CROSS_STREET_2,CORNER,INSTALL_DATE,ACTIVE_DATE,WIFI_STATUS,TABLET_STATUS,PHONE_STATUS,COMMUNITY_BOARD,COUNCIL_DISTRICT,CENSUS_TRACT,NTA,NTA_NAME
mn-08-134748,Link Active!,134748_134749,206 EAST 86 STREET,New York,NY,10028,Manhattan,40.77860514,-73.95371545,3 AVENUE,2 AVENUE,SE,02/22/2016 12:00:00 AM,04/15/2016 12:00:00 AM,up,up,up,8,5,14601,MN32,Yorkville
mn-08-134750,Link Active!,134750_134751,1031 3 AVENUE,New York,NY,10065,Manhattan,40.762896,-73.965443,EAST 61 STREET,EAST 62 STREET,NE,03/05/2016 12:00:00 AM,03/29/2016 12:00:00 AM,up,up,up,8,4,110,MN31,Lenox Hill-Roosevelt Island
mn-08-135066,Link Active!,135066_135107,1223 2 AVENUE,New York,NY,10065,Manhattan,40.76389092,-73.96208669,EAST 64 STREET,EAST 65 STREET,NW,01/27/2018 12:00:00 AM,04/11/2018 12:00:00 AM,up,up,up,8,4,118,MN31,Lenox Hill-Roosevelt Island
mn-08-135072,Link Installed; Connecting Power and Fiber,135072_135073,343 EAST 66 STREET,New York,NY,10065,Manhattan,40.764116575756425,-73.95894778204809,1 AVENUE,2 AVENUE,NW,05/01/2018 12:00:00 AM,,Not Available,Not Available,Not Available,8,5,118,MN31,Lenox Hill-Roosevelt Island
mn-08-135076,Link Active!,135076_135077,1126 1 AVENUE,New York,NY,10065,Manhattan,40.76126735,-73.96062004,EAST 62 STREET,EAST 61 STREET,SE,04/04/2018 12:00:00 AM,06/07/2018 12:00:00 AM,up,up,up,8,5,10602,MN31,Lenox Hill-Roosevelt Island
mn-08-135080,Link Active!,135080_135081,400 EAST 68 STREET,New York,NY,10065,Manhattan,40.76511946,-73.95769383,1 AVENUE,YORK AVENUE,SE,01/25/2018 12:00:00 AM,06/15/2018 12:00:00 AM,up,up,up,8,5,116,MN31,Lenox Hill-Roosevelt Island
mn-08-135082,Link Active!,135082,1320 1 AVENUE,New York,NY,10021,Manhattan,40.76695173,-73.95646462,EAST 71 STREET,EAST 70 STREET,SE,12/07/2017 12:00:00 AM,03/06/2018 12:00:00 AM,up,up,up,8,5,124,MN31,Lenox Hill-Roosevelt Island
mn-08-135088,Link Active!,135088_135260,1284 1 AVENUE,New York,NY,10065,Manhattan,40.76566545183086,-73.95740873203073,EAST 69 STREET,EAST 68 STREET,SE,12/07/2017 12:00:00 AM,05/11/2018 12:00:00 AM,up,up,up,8,5,116,MN31,Lenox Hill-Roosevelt Island
mn-08-135119,Link Installed; Connecting Power and Fiber,135119_135120,1166 1 AVENUE,New York,NY,10065,Manhattan,40.76259531,-73.95964853,EAST 64 STREET,EAST 63 STREET,SE,03/23/2018 12:00:00 AM,,Not Available,Not Available,Not Available,8,5,10602,MN31,Lenox Hill-Roosevelt Island
mn-08-135869,Link Installed; Connecting Power and Fiber,135869,1208 1 AVENUE,New York,NY,10065,Manhattan,40.76343296,-73.95903881,EAST 65 STREET,EAST 66 STREET,NE,03/23/2018 12:00:00 AM,,Not Available,Not Available,Not Available,8,5,116,MN31,Lenox Hill-Roosevelt Island
