,poverty_rate_nyc,poverty_rate_boro,poverty_rate,crime_count,crime_count_nyc,crime_count_boro,pop_2010,female_85_over,male_85_over,female_80_84,male_80_84,female_75_79,male_75_79,female_70_74,male_70_74,female_65_69,male_65_69,female_60_64,male_60_64,female_55_59,male_55_59,female_50_54,male_50_54,female_45_49,male_45_49,female_40_44,male_40_44,female_35_39,male_35_39,female_30_34,male_30_34,female_25_29,male_25_29,female_20_24,male_20_24,female_15_19,male_15_19,female_10_14,male_10_14,female_5_9,male_5_9,female_under_5,male_under_5
20,20.5,21.2,23.3,1424,99843,29170,160664,1.171313545,0.561101703,1.011588971,0.561101703,1.171313545,0.841652554,1.4907626930000002,1.122203406,2.23614404,1.823580534,3.034766912,2.571716138,3.2477330110000002,2.478199187,3.407457585,2.992542415,3.0880084360000004,2.94578394,3.726906734,2.852266989,3.5671821589999997,3.5536441180000002,4.152838932,3.319851742,4.312563506,3.92771192,4.152838932,3.5536441180000002,3.034766912,3.03930089,3.46069911,2.992542415,3.46069911,3.506885643,3.5671821589999997,4.067987345
21,20.5,21.2,19.8,1182,99843,29170,159650,1.92437416,1.055777527,1.300252811,0.911807864,1.5603033730000002,1.247737077,1.92437416,1.679646065,2.8085460710000003,2.399494379,3.2766370830000002,3.023362917,3.7967382069999998,3.35929213,3.744728095,3.263312355,3.43266742,3.407282018,3.172616858,2.927383142,3.2766370830000002,3.119342692,3.380657308,3.407282018,3.536687645,3.215322467,2.964576408,3.215322467,2.600505621,2.7834134789999996,2.912566296,2.831403367,3.0685966330000003,2.7834134789999996,3.380657308,3.311302243
22,20.5,21.2,28.6,1583,99843,29170,86468,0.512300095,0.258466604,0.967677957,0.17231106899999998,1.024600189,0.6030887420000001,1.309211353,1.076944182,2.2199670769999997,1.42156632,2.447656008,1.5077218540000001,3.187645033,2.153888363,3.8707118260000004,2.627743803,4.0414785239999995,2.498510501,3.927634059,2.498510501,4.212245223,2.369277199,3.8707118260000004,2.541588269,5.009156481000001,3.4462213810000004,4.0414785239999995,4.178543424,4.0414785239999995,3.5754546830000002,4.15532299,4.135465657,3.699945128,3.747765752,4.326089688,4.350854494
23,20.5,21.2,20.5,1997,99843,29170,155252,1.181478796,0.52486926,1.012696111,0.612347469,1.6878268509999999,1.0059994140000001,1.9691313259999998,1.618346883,2.9818274369999997,1.837042408,3.7132190730000003,2.5368680880000003,3.656958178,2.493128983,4.050784443,2.843041822,4.275828023,2.755563612,4.332088918,2.7993027169999998,3.600697283,2.8867809269999998,3.994523548,2.843041822,4.163306233,3.192954662,3.769479968,3.2366937669999998,3.3756537019999997,3.367911082,2.869305647,2.9742591369999998,2.362957592,3.192954662,3.319392807,3.017998242
24,20.5,21.2,15.7,1977,99843,29170,193543,1.245632131,0.550104975,0.9206846190000001,0.595947056,1.191474213,0.779315381,1.8413692380000002,1.146052031,2.437106344,2.017051575,3.736896394,2.658840712,4.061843907,3.3464719310000004,4.2784755819999996,3.254787768,3.953528069,3.071419443,3.6827384760000004,2.612998631,3.3577909630000002,2.750524874,3.411948882,3.208945687,3.5202647189999996,3.392314012,3.736896394,3.621524418,3.3036330439999997,3.667366499,3.5202647189999996,3.300629849,3.0870013689999998,3.071419443,2.870369694,2.7963669560000004
25,20.5,18.4,14.7,853,99843,21046,116431,2.076178201,1.05810199,1.24570692,0.9619109,1.557133651,1.010006445,2.128082656,1.8757262540000001,2.750936116,2.645254974,3.477598486,3.3185926039999996,4.100451947,3.462879239,4.619496497,3.943834688,3.5814073960000004,3.559070329,3.789025216,3.607165873,3.321885121,3.366688149,3.218076211,2.9819237889999997,3.4256940310000004,3.0781148789999997,2.750936116,2.356681704,2.595222751,2.308586159,2.543318296,2.741446064,2.439509386,2.741446064,2.335700476,3.126210424
26,20.5,18.4,21.8,1046,99843,21046,113200,0.84893287,0.35043940700000004,0.7490584140000001,0.550690496,1.04868178,0.951192675,1.498116829,1.05131822,2.247175243,1.652071488,2.5967358369999998,2.403013074,2.8963592019999997,2.653326936,3.14604534,3.404268521,3.14604534,3.704645156,3.745292072,4.655837831,4.444413259,5.356716644,5.642906722,5.556967734,5.393220584,4.906151693,2.94629643,3.2040174319999997,2.197238016,1.9524481230000001,1.8476774219999998,2.453075846,2.696610292,2.302887529,2.8963592019999997,2.95370357
27,20.5,18.4,25.6,1851,99843,21046,171576,0.9159302779999999,0.414345146,1.0123439920000001,0.414345146,0.964137135,0.932276579,1.4944125590000001,1.139449152,1.92827427,1.3984148680000001,2.603170264,1.968139444,2.554963407,2.9522091660000003,3.085238832,3.055795452,3.326273115,4.14345146,3.2298594019999998,4.091658317,3.470893686,4.195244604,4.00116911,5.490073185,4.29041025,5.386486898999999,3.808341683,4.247037747,2.699583978,2.641450306,2.554963407,2.641450306,2.9406182610000005,3.1593817389999996,3.374479972,3.470140598
28,20.5,18.4,19.5,1369,99843,21046,169190,1.389239361,0.534013593,1.0805195029999999,0.582560284,1.2863327420000001,0.9223871159999999,1.492145981,1.359307329,2.212492316,1.8447742319999998,3.1386518910000003,2.621521277,3.395918439,3.2526282510000004,3.5502783680000003,3.495361703,3.4473717489999998,3.5924550839999996,3.5502783680000003,3.738095154,3.9619048460000004,3.6895484639999996,4.064811465,3.738095154,3.858998226,3.980828606,3.3444651289999996,3.301174942,2.8813853419999997,2.961348109,3.0871985810000004,2.621521277,2.829932033,2.9128014189999996,2.8813853419999997,3.398268322
29,20.5,18.4,24.4,1914,99843,21046,247354,1.9277512330000002,0.862175076,1.615142925,1.197465383,1.771447079,1.293262614,2.084055387,1.724350152,2.6571706180000003,2.299133536,3.490792772,3.1134099969999998,4.011806619,3.49659892,4.063908004,3.879787842,3.80340108,3.6402947660000002,3.80340108,3.065511382,3.073981695,3.49659892,3.542894157,3.161308612,3.6991983110000004,3.927686458,3.073981695,3.1134099969999998,2.084055387,2.490727998,2.24035954,2.107539075,2.500866464,2.4428293819999998,2.6571706180000003,2.634423844
