,age0_18,age19_35,age36_55,age56_102,low_income,medium_income,high_income,shoes,restaurant,gym,clothes,clinic
10075,0.007009502017042711,0.007455054915836623,0.009050333312243688,0.013029798408403119,0.270963270963271,0.255024255024255,0.47401247401247404,0.0,0.0067061143984220905,0.0,0.006237006237006237,0.014925373134328358
10128,0.017317593218576108,0.021526598899637987,0.021905430199987346,0.024726594398988038,0.3182089552238806,0.25940298507462684,0.42238805970149257,0.0,0.023668639053254437,0.015625,0.002079002079002079,0.029850746268656716
10023,0.015835456862031305,0.018762910846133393,0.02416298077199602,0.03031879973740253,0.28768328445747804,0.20879765395894428,0.5035190615835777,0.026785714285714284,0.01893491124260355,0.03125,0.037422037422037424,0.029850746268656716
10024,0.018472842358639854,0.01586116622011331,0.024404553062503956,0.03111539877988247,0.3144694533762058,0.207395498392283,0.4781350482315113,0.044642857142857144,0.03116370808678501,0.0,0.016632016632016633,0.029850746268656716
10025,0.026945907594927303,0.03258646432004581,0.03615244361875291,0.04291227002706035,0.45335900727428324,0.22486093281985453,0.3217800599058622,0.008928571428571428,0.03944773175542406,0.0,0.006237006237006237,0.04477611940298507
10031,0.02303440487953463,0.024037183236864174,0.021430913200775333,0.017757353529854452,0.7558022199798184,0.18298015472586615,0.06121762529431551,0.008928571428571428,0.005128205128205128,0.03125,0.0,0.014925373134328358
10032,0.022480925387992838,0.023469617327633814,0.020942016898556893,0.020595487806830737,0.7731064397731064,0.1698365031698365,0.05705705705705706,0.0,0.0019723865877712033,0.015625,0.0,0.0
10033,0.021050793815888206,0.022674513734072362,0.02042148612972432,0.01931052151217716,0.7313213102686786,0.17556128082443873,0.0931174089068826,0.0,0.007100591715976331,0.0,0.0,0.0
10034,0.016221778117872558,0.013434949788313255,0.015472130034912948,0.013041807439194274,0.7139376218323588,0.2002923976608187,0.08576998050682261,0.0,0.005917159763313609,0.0,0.0,0.0
10040,0.01656723847165368,0.014409015605505901,0.015837364331276135,0.014903207211823291,0.7255900046274874,0.19435446552521982,0.0800555298472929,0.0,0.002366863905325444,0.0,0.0,0.0
11691,0.03536325341931458,0.017333769660278567,0.018488907805660842,0.021740348742254174,0.7578055307760927,0.17216770740410348,0.07002676181980376,0.0,0.0007889546351084812,0.0,0.0,0.0
11692,0.010761275751654866,0.005141329024604749,0.00614858996554719,0.005680271564216291,0.7421965317919075,0.18497109826589592,0.07283236994219652,0.0,0.0003944773175542406,0.015625,0.0,0.0
11693,0.005568226562558041,0.003144621929519563,0.004748045852721427,0.004647494916176965,0.636842105263158,0.23333333333333334,0.12982456140350876,0.008928571428571428,0.002366863905325444,0.0,0.002079002079002079,0.0
11694,0.008227899823926658,0.004619781972879554,0.008656340409867652,0.011728820072694667,0.49659090909090914,0.23977272727272728,0.26363636363636367,0.0,0.0,0.0,0.0,0.0
11697,0.001578716670505115,0.0006851696561880024,0.001446557882446322,0.002762077081965638,0.35784313725490197,0.26960784313725494,0.3725490196078432,0.0,0.001183431952662722,0.0,0.0,0.0
11204,0.043212261242320006,0.0248629660687624,0.02725740677897861,0.030735112804829233,0.7335329341317365,0.16766467065868262,0.09880239520958084,0.017857142857142856,0.0035502958579881655,0.0,0.006237006237006237,0.04477611940298507
11218,0.04053401484365133,0.02626654122266991,0.029083578260794545,0.02470257633740573,0.6367482623148988,0.21245089150800844,0.15080084617709277,0.0,0.011439842209072978,0.0,0.0,0.0
11219,0.0647831029026099,0.031195672182111958,0.026526938186252236,0.02892575216562855,0.8146426496223127,0.11882626380011621,0.06653108657757117,0.008928571428571428,0.0035502958579881655,0.0,0.006237006237006237,0.0
11230,0.045511615640067456,0.0272278240238889,0.02833010278325789,0.03676364626198902,0.6671384092838947,0.19501839796207188,0.1378431927540334,0.0,0.0019723865877712033,0.0,0.002079002079002079,0.0
11201,0.014639346819907431,0.021968891252326508,0.02118358918906483,0.01834979904888476,0.33333333333333337,0.23139158576051783,0.43527508090614886,0.03571428571428571,0.03471400394477318,0.09375,0.056133056133056136,0.05970149253731343
11205,0.021162232639688566,0.017474382835988792,0.01206998694359287,0.008406321553808464,0.6143617021276595,0.226063829787234,0.1595744680851064,0.0,0.01222879684418146,0.0,0.0,0.014925373134328358
11215,0.021630275699650082,0.025522569693003087,0.02709635858530665,0.019434614830352425,0.3647443519619501,0.27080856123662306,0.3644470868014269,0.08035714285714286,0.04339250493096647,0.015625,0.060291060291060294,0.014925373134328358
11217,0.011433623321917046,0.014848751354999693,0.014741661442186573,0.010712055465710213,0.4149108589951378,0.2685035116153431,0.3165856293895192,0.008928571428571428,0.035897435897435895,0.09375,0.06652806652806653,0.0
11231,0.012945476698141943,0.012228233080400058,0.014031323873669196,0.009755336012681536,0.4353219137625516,0.22799763733018313,0.33668044890726523,0.0,0.016962524654832348,0.015625,0.002079002079002079,0.029850746268656716
11203,0.032554995059545476,0.02128883480252797,0.025891372993368265,0.031019326533553233,0.731791600212653,0.20707070707070707,0.06113769271664008,0.0,0.0007889546351084812,0.015625,0.0,0.014925373134328358
11210,0.03324591576710772,0.017875769537561613,0.02056815502038985,0.02210462267625254,0.6610906657745065,0.2117765138842422,0.12713282034125126,0.0,0.0,0.0,0.0,0.0
11225,0.024605692295119722,0.01868365614709672,0.01958748655535169,0.018706066962355692,0.6941715782580222,0.2305173542894564,0.0753110674525213,0.0,0.002366863905325444,0.0,0.0,0.0
11226,0.0477143897238546,0.03217229460249933,0.034933078723808096,0.03153171184730918,0.7610484025253492,0.18634015687775016,0.052611440596900705,0.0,0.005522682445759369,0.0,0.002079002079002079,0.014925373134328358
11220,0.049233672354999515,0.04065766060581269,0.03896791114741086,0.03042688101452292,0.863091947669062,0.09765984890363,0.03924820342730791,0.008928571428571428,0.005917159763313609,0.015625,0.0,0.029850746268656716
11232,0.012685452775941101,0.015058392816967664,0.0126940486940717,0.006881174643331786,0.7467581998474447,0.18001525553012968,0.07322654462242563,0.0,0.0027613412228796844,0.0,0.0,0.0
