,age6_12,age13_17,age18_24,age25_34,age35_44,age45_54,age55_64,age65_102
10044,0.003010926927540675,0.004040222661159993,0.0031458936048370904,0.004242138037570935,0.00439651858911243,0.005164645273816638,0.006644971895409963,0.0057697920330472136
10065,0.00722622462609762,0.004803375830490213,0.005317527015268368,0.012590345534149212,0.012025926296446455,0.010939745805138805,0.012918250157400876,0.02012317869891564
10075,0.00788315413756104,0.005371999760579398,0.004343266820862555,0.008788429368401674,0.009082628223016696,0.008862905960821047,0.010870142381418353,0.014705111990840174
10128,0.017671403858366,0.014948823846291974,0.014651088419690468,0.02439229371603288,0.022445938617229086,0.021734145120395343,0.023302915140067815,0.02566846520538514
10023,0.014058291545317188,0.012045849045310348,0.012903369750336529,0.021094631694373964,0.024609973515582632,0.0235332116729381,0.02677711277488261,0.03333158717923773
10024,0.018437821621739986,0.015547375351649009,0.00927406459865686,0.018525336769731945,0.02400446496738152,0.024453739442192472,0.029348625871394002,0.032343762862295795
10025,0.027021700571528674,0.027428622732986175,0.03493949918563747,0.030679462449074334,0.03318713373314448,0.0384522213788537,0.042046894082485645,0.04353162160341847
10031,0.022499835767622135,0.027982282875441432,0.028476658659388223,0.022203190407965614,0.021424472022872426,0.021265806430774695,0.019085330238414917,0.016688244142276636
10032,0.021853855081349773,0.026665469563655952,0.027904001903897784,0.021694934246860417,0.02016606730095881,0.02172445535440319,0.02104241100213155,0.020055827040942324
10033,0.02039766133093919,0.024794996109415216,0.0308639679907185,0.01871743358652761,0.01981329275548512,0.020768398443177596,0.020481077759825227,0.018387002626714662
10034,0.015952438303370047,0.018181001975219966,0.014896512743472085,0.012866484708292979,0.015248284831221074,0.015384118473538865,0.015110484036137723,0.011434814820358161
10040,0.015623973547638339,0.0191237205961573,0.01699377514669681,0.013330718682215836,0.01515877487192178,0.01620451866087434,0.015565619097467174,0.014532991087130595
11691,0.0361311231304881,0.03636200395043993,0.023315310759253614,0.015227674748073029,0.01671203593035072,0.020296829831559567,0.020541762434669156,0.02264512411413861
11692,0.011463419975036679,0.011626862991560424,0.007213987699035408,0.004338186445968768,0.005470638100703969,0.006782836194505902,0.005909170212927353,0.005507868918706549
11693,0.0059342632535528935,0.0065691027712934695,0.0039044778783439062,0.0028254240137029064,0.004022682876744786,0.0053842799696387335,0.005218882036577688,0.004160835759240273
11694,0.008748111327654544,0.010085592865266056,0.005860435367876187,0.004110071476023916,0.006481574111613654,0.010380969299591414,0.011734898997944306,0.011906276426171357
11697,0.001729914380187006,0.0020350751182139225,0.0008552665828753319,0.0006283166716024877,0.0010635889281445639,0.001734468112595081,0.0023667023189131373,0.003045791643904301
11204,0.04531718746578492,0.04531034895552762,0.03105733260945553,0.022563371939457486,0.024446749472154503,0.029692672921948934,0.03113123819493435,0.030585136237437045
11218,0.04306172947642718,0.04094092296642126,0.02867746037884591,0.025212707204431032,0.028664248142668346,0.029440739006153002,0.028081833284027035,0.021919222911537337
11219,0.06610900650360216,0.05548572454659723,0.04040576821531894,0.027577899261227657,0.025715684777515097,0.02739619838180908,0.030812643652003733,0.027180135751008402
11230,0.04580988459938248,0.04692643801999162,0.03411398100564476,0.02451635624354675,0.025752541819579512,0.03052276287527656,0.035879814001471604,0.037440038315609867
