,type,id,lat,lon,tags_addr:city,tags_shop,tags_name,geometry,index_right,ZIPCODE,BLDGZIP,PO_NAME,POPULATION,AREA,STATE,COUNTY,ST_FIPS,CTY_FIPS,URL,SHAPE_AREA,SHAPE_LEN
179,way,248238786,40.6683776,-73.9873413,,shoes,Payless.com,POINT (-73.9873413 40.6683776),122,11215,0,Brooklyn,63272.0,61922821.7461638,NY,Kings,36,047,http://www.usps.com/,0.0,0.0
180,way,248239131,40.6671714,-73.9883419,,shoes,Bobby's,POINT (-73.98834189999999 40.6671714),122,11215,0,Brooklyn,63272.0,61922821.7461638,NY,Kings,36,047,http://www.usps.com/,0.0,0.0
181,way,248239652,40.6663972,-73.9890006,,shoes,Foot Locker,POINT (-73.9890006 40.6663972),122,11215,0,Brooklyn,63272.0,61922821.7461638,NY,Kings,36,047,http://www.usps.com/,0.0,0.0
88,node,5089313323,40.7101898,-74.0099011,,shoes,ALDO,POINT (-74.00990109999999 40.7101898),97,10007,0,New York,7323.0,5327870.97676123,NY,New York,36,061,http://www.usps.com/,0.0,0.0
89,node,5163880322,40.6927465,-73.9274346,,shoes,Oh's World,POINT (-73.9274346 40.6927465),179,11221,0,Brooklyn,80232.0,38580480.4343075,NY,Kings,36,047,http://www.usps.com/,0.0,0.0
90,node,5173971821,40.76575,-73.9658113,,shoes,Tru Form Shoes,POINT (-73.9658113 40.76575),195,10065,0,New York,33459.0,11442579.5473714,NY,New York,36,061,http://www.usps.com/,0.0,0.0
94,node,5219854021,40.7184523,-73.9605541,,shoes,Vans,POINT (-73.9605541 40.7184523),260,11249,0,Brooklyn,28481.0,17772206.1701202,NY,Kings,36,047,http://www.usps.com/,0.0,0.0
99,node,5302771422,40.8082105,-73.9458839,,shoes,atmos,POINT (-73.9458839 40.8082105),42,10027,0,New York,58639.0,24695278.5042902,NY,New York,36,061,http://www.usps.com/,0.0,0.0
102,node,5314268566,40.8105106,-73.9514575,,shoes,DSW,POINT (-73.9514575 40.8105106),42,10027,0,New York,58639.0,24695278.5042902,NY,New York,36,061,http://www.usps.com/,0.0,0.0
100,node,5302771423,40.7195776,-73.9896139,,shoes,extra butter,POINT (-73.98961389999999 40.7195776),92,10002,0,New York,81305.0,26280128.5438885,NY,New York,36,061,http://www.usps.com/,0.0,0.0
104,node,5342856093,40.7556525,-73.804807,,shoes,Shoe Village,POINT (-73.804807 40.7556525),67,11358,0,Flushing,37743.0,54622541.0857367,NY,Queens,36,081,http://www.usps.com/,0.0,0.0
105,node,5348372784,40.7065176,-73.8967296,,shoes,Payless Shoesource,POINT (-73.8967296 40.7065176),99,11385,0,Ridgewood,98436.0,124786310.907857,NY,Queens,36,081,http://www.usps.com/,0.0,0.0
136,node,5557076436,40.7026869,-73.9017104,,shoes,Woodward Shoes Corporation,POINT (-73.9017104 40.7026869),99,11385,0,Ridgewood,98436.0,124786310.907857,NY,Queens,36,081,http://www.usps.com/,0.0,0.0
137,node,5559827146,40.7006417,-73.9029385,,shoes,Fabco Shoes,POINT (-73.9029385 40.7006417),99,11385,0,Ridgewood,98436.0,124786310.907857,NY,Queens,36,081,http://www.usps.com/,0.0,0.0
138,node,5559841739,40.7006032,-73.9033029,,shoes,Payless ShoeSource,POINT (-73.9033029 40.7006032),99,11385,0,Ridgewood,98436.0,124786310.907857,NY,Queens,36,081,http://www.usps.com/,0.0,0.0
