index_left,type,id,lat,lon,tags_addr:city,tags_shop,tags_name,geometry
179,way,248238786,40.6683776,-73.9873413,,shoes,Payless.com,POINT (-73.9873413 40.6683776)
180,way,248239131,40.6671714,-73.9883419,,shoes,Bobby's,POINT (-73.98834189999999 40.6671714)
181,way,248239652,40.6663972,-73.9890006,,shoes,Foot Locker,POINT (-73.9890006 40.6663972)
182,way,249714301,40.5987645,-73.9547148,,shoes,Payless Shoe Source,POINT (-73.9547148 40.5987645)
183,way,266143307,40.7561723,-73.9879309,,shoes,Aldo,POINT (-73.98793089999999 40.7561723)
184,way,269307472,40.7829902,-73.9751338,,shoes,Medici,POINT (-73.97513379999999 40.7829902)
185,way,269313803,40.783925,-73.9794102,New York,shoes,Designer Shoe Warehouse,POINT (-73.9794102 40.783925)
186,way,274092413,40.8919477,-74.2540794,Wayne,shoes,DSW,POINT (-74.25407939999999 40.8919477)
187,way,280577117,40.7593243,-73.918375,,shoes,Payless ShoeSource,POINT (-73.918375 40.7593243)
188,way,378588967,40.9171111,-74.1728897,Paterson,shoes,Magic Sneaker,POINT (-74.1728897 40.9171111)
189,way,378648773,40.917317,-74.1735088,Paterson,shoes,Foot Locker,POINT (-74.17350879999999 40.917317)
190,way,458620737,40.6628748,-73.7239617,,shoes,,POINT (-73.7239617 40.6628748)
191,way,512997682,40.6236458,-73.7352135,,shoes,Incredible Feets,POINT (-73.7352135 40.6236458)
192,way,632686082,40.7267882,-74.0376533,,shoes,Kids Foot Locker,POINT (-74.0376533 40.7267882)
193,way,632686085,40.7271405,-74.0374633,,shoes,Zumiez,POINT (-74.0374633 40.7271405)
194,way,632686086,40.7271524,-74.0376103,,shoes,Vans,POINT (-74.0376103 40.7271524)
195,way,632686088,40.7265891,-74.0379066,,shoes,Journeys,POINT (-74.0379066 40.7265891)
196,way,633127705,40.727407,-74.0377426,,shoes,Skechers,POINT (-74.0377426 40.727407)
197,way,633127708,40.7271532,-74.0377462,,shoes,Aldo Accessories,POINT (-74.0377462 40.7271532)
198,way,633151911,40.7278381,-74.0376811,,shoes,Champs,POINT (-74.0376811 40.7278381)
199,way,633151928,40.726129,-74.0379772,,shoes,Aldo,POINT (-74.0379772 40.726129)
200,way,633151929,40.7260326,-74.0379618,,shoes,Call it Spring,POINT (-74.03796180000001 40.7260326)
