,type,id,lat,lon,tags_addr:city,tags_shop,tags_name,geometry,index_right,ZIPCODE,BLDGZIP,PO_NAME,POPULATION,AREA,STATE,COUNTY,ST_FIPS,CTY_FIPS,URL,SHAPE_AREA,SHAPE_LEN
829,way,265301819,40.7504807,-73.9901479,,clothes,crocs,POINT (-73.9901479 40.7504807),82,10001,0,New York,22413.0,17794940.7727089,NY,New York,36,061,http://www.usps.com/,0.0,0.0
830,way,265302051,40.750288,-73.9901325,,clothes,Old Navy,POINT (-73.9901325 40.750288),82,10001,0,New York,22413.0,17794940.7727089,NY,New York,36,061,http://www.usps.com/,0.0,0.0
831,way,265302077,40.7501361,-73.9881568,,clothes,Sunglass Hut,POINT (-73.9881568 40.7501361),82,10001,0,New York,22413.0,17794940.7727089,NY,New York,36,061,http://www.usps.com/,0.0,0.0
7,node,663387602,40.7529683,-73.9926431,,clothes,Mr Joe,POINT (-73.9926431 40.7529683),78,10018,0,New York,5503.0,10705796.4791701,NY,New York,36,061,http://www.usps.com/,0.0,0.0
35,node,1413105218,40.7537134,-73.9914496,,clothes,Selini Neckwear Inc.,POINT (-73.9914496 40.7537134),78,10018,0,New York,5503.0,10705796.4791701,NY,New York,36,061,http://www.usps.com/,0.0,0.0
153,node,2569492700,40.7520287,-73.9901051,New York,clothes,Lee Jean Corp,POINT (-73.99010509999999 40.7520287),78,10018,0,New York,5503.0,10705796.4791701,NY,New York,36,061,http://www.usps.com/,0.0,0.0
182,node,2714977982,40.752067,-73.9820787,New York,clothes,Lord & Taylor,POINT (-73.9820787 40.752067),78,10018,0,New York,5503.0,10705796.4791701,NY,New York,36,061,http://www.usps.com/,0.0,0.0
282,node,3451315857,40.7509578,-73.9880113,New York,clothes,Urban Outfitters,POINT (-73.9880113 40.7509578),78,10018,0,New York,5503.0,10705796.4791701,NY,New York,36,061,http://www.usps.com/,0.0,0.0
335,node,4307308992,40.7567609,-73.9945607,,clothes,Hell's Kitchen Flea Market,POINT (-73.99456069999999 40.7567609),78,10018,0,New York,5503.0,10705796.4791701,NY,New York,36,061,http://www.usps.com/,0.0,0.0
457,node,4893309822,40.750751,-73.9832148,,clothes,reebok,POINT (-73.9832148 40.750751),78,10018,0,New York,5503.0,10705796.4791701,NY,New York,36,061,http://www.usps.com/,0.0,0.0
