,type,id,lat,lon,tags_addr:city,tags_amenity,tags_name,geometry,index_right,ZIPCODE,BLDGZIP,PO_NAME,POPULATION,AREA,STATE,COUNTY,ST_FIPS,CTY_FIPS,URL,SHAPE_AREA,SHAPE_LEN
129,way,244880335,40.6253752,-74.1136346,,,YMCA Broadway Branch,POINT (-74.1136346 40.6253752),258,10310,0,Staten Island,25003.0,53463275.0024921,NY,Richmond,36,085,http://www.usps.com/,0.0,0.0
134,way,248237259,40.6686627,-73.9843667,Brooklyn,,Prospect Park YMCA,POINT (-73.9843667 40.6686627),122,11215,0,Brooklyn,63272.0,61922821.7461638,NY,Kings,36,047,http://www.usps.com/,0.0,0.0
144,way,265883460,40.7529715,-73.9743069,New York,,New York Health and Racquet Club,POINT (-73.9743069 40.7529715),81,10017,0,New York,15918.0,9794383.23999352,NY,New York,36,061,http://www.usps.com/,0.0,0.0
146,way,266907783,40.7791393,-73.9438847,,,Asphalt Green Aquacenter,POINT (-73.9438847 40.7791393),59,10128,0,New York,55748.0,11011681.5568226,NY,New York,36,061,http://www.usps.com/,0.0,0.0
149,way,271584630,40.646794,-73.9138003,,,Planet Fitness Gym,POINT (-73.91380030000001 40.646794),128,11236,0,Brooklyn,94480.0,96373991.6201046,NY,Kings,36,047,http://www.usps.com/,0.0,0.0
152,way,271823290,40.8147036,-73.9429469,,,Harlem Branch YMCA,POINT (-73.9429469 40.8147036),41,10030,0,New York,26720.0,7757661.4549303,NY,New York,36,061,http://www.usps.com/,0.0,0.0
156,way,275284116,40.8114873,-73.9140926,,,St. Mary's Swimming Pool,POINT (-73.9140926 40.8114873),47,10454,0,Bronx,37466.0,31063613.325308,NY,Bronx,36,005,http://www.usps.com/,0.0,0.0
157,way,276273759,40.8566321,-73.9112793,,,Alumni Gymnasium,POINT (-73.9112793 40.8566321),25,10453,0,Bronx,77576.0,25748509.2716743,NY,Bronx,36,005,http://www.usps.com/,0.0,0.0
158,way,276516895,40.8907267,-73.9002974,,,Draddy Gymnasium,POINT (-73.9002974 40.8907267),10,10471,0,Bronx,23477.0,89651407.0583499,NY,Bronx,36,005,http://www.usps.com/,0.0,0.0
159,way,276544415,40.9050304,-73.9083482,,community_centre,The Riverdale YM-YWHA,POINT (-73.90834820000001 40.9050304),10,10471,0,Bronx,23477.0,89651407.0583499,NY,Bronx,36,005,http://www.usps.com/,0.0,0.0
