index_left,type,id,lat,lon,tags_addr:city,tags_shop,tags_name,geometry
197,node,2823612564,40.8360703,-74.150068,,clothes,Annie Sez,POINT (-74.150068 40.8360703)
198,node,2823640707,40.8305323,-74.1380179,,clothes,Lane Bryant,POINT (-74.13801789999999 40.8305323)
199,node,2828209143,40.7033553,-73.7997958,Jamaica,clothes,K&G Fashion Superstore,POINT (-73.7997958 40.7033553)
200,node,2828209145,40.7034152,-73.799642,Jamaica,clothes,Old Navy,POINT (-73.79964200000001 40.7034152)
201,node,2830296957,40.9181115,-74.0754175,,clothes,Banana Republic,POINT (-74.0754175 40.9181115)
202,node,2830338979,40.9189968,-74.0758554,,clothes,Aeropostale,POINT (-74.07585539999999 40.9189968)
203,node,2830338980,40.9191496,-74.0757463,,clothes,Gap,POINT (-74.07574630000001 40.9191496)
204,node,2830338981,40.9189811,-74.075275,,clothes,Hollister,POINT (-74.075275 40.9189811)
205,node,2830338982,40.9184215,-74.0753772,,clothes,Coach,POINT (-74.07537720000001 40.9184215)
206,node,2830338983,40.9189929,-74.0746778,,clothes,Uniqlo,POINT (-74.0746778 40.9189929)
207,node,2830340850,40.9181984,-74.0760015,,clothes,Tommy Hilfiger,POINT (-74.0760015 40.9181984)
208,node,2830340851,40.917834,-74.0761607,,clothes,Abercrombie & Fitch,POINT (-74.0761607 40.917834)
209,node,2830358039,40.9167472,-74.077417,,clothes,Urban Outfitters,POINT (-74.077417 40.9167472)
210,node,2830358043,40.9168369,-74.0767525,,clothes,The Children's Place,POINT (-74.0767525 40.9168369)
211,node,2830358044,40.9171341,-74.0767151,,clothes,American Apparel,POINT (-74.0767151 40.9171341)
212,node,2830358045,40.9181754,-74.0766979,,clothes,H&M,POINT (-74.0766979 40.9181754)
213,node,2830358046,40.9191038,-74.0763506,,clothes,J Crew,POINT (-74.0763506 40.9191038)
214,node,2830358048,40.9177893,-74.0768616,,clothes,Victoria's Secret,POINT (-74.0768616 40.9177893)
215,node,2830358049,40.917466,-74.0768759,,clothes,Gucci,POINT (-74.0768759 40.917466)
216,node,2830358050,40.9180105,-74.077295,,clothes,Louis Vuitton,POINT (-74.07729500000001 40.9180105)
217,node,2830358051,40.9183164,-74.077206,,clothes,Tommy Bahama,POINT (-74.077206 40.9183164)
218,node,2830358052,40.917978,-74.0767209,,clothes,Anthropologie,POINT (-74.0767209 40.917978)
219,node,2830358053,40.9183945,-74.076783,,clothes,Ann Taylor,POINT (-74.07678300000001 40.9183945)
220,node,2830358054,40.9188428,-74.0758931,,clothes,American Eagle Outfitters,POINT (-74.0758931 40.9188428)
221,node,2830358055,40.9173359,-74.0766721,,clothes,Adidas,POINT (-74.0766721 40.9173359)
222,node,2830643351,40.9145006,-74.0566071,,clothes,Marshalls,POINT (-74.05660709999999 40.9145006)
223,node,2830643352,40.914676,-74.0570261,,clothes,Saks Off Fifth,POINT (-74.0570261 40.914676)
224,node,2830643354,40.9146161,-74.05847,,clothes,Dress Barn,POINT (-74.05847 40.9146161)
225,node,2830643356,40.9147873,-74.0586909,,clothes,Gap Factory Store,POINT (-74.0586909 40.9147873)
226,node,2830643357,40.9149627,-74.0589513,,clothes,H&M,POINT (-74.0589513 40.9149627)
227,node,2830643359,40.9146161,-74.0605368,,clothes,Adidas Outlet Store,POINT (-74.06053679999999 40.9146161)
228,node,2830643362,40.9144998,-74.0592732,,clothes,Banana Republic Factory Store,POINT (-74.05927320000001 40.9144998)
229,node,2830643363,40.9155233,-74.0596705,,clothes,US Polo Assoc.,POINT (-74.0596705 40.9155233)
230,node,2830643367,40.9159939,-74.0596591,,clothes,Guess Factory Store,POINT (-74.0596591 40.9159939)
231,node,2830643368,40.9158741,-74.0594666,,clothes,New York & Company Outlet,POINT (-74.05946659999999 40.9158741)
232,node,2830643369,40.9157115,-74.0592118,,clothes,Tommy Hilfiger,POINT (-74.0592118 40.9157115)
233,node,2839628068,40.7141811,-73.9602186,,clothes,Bird,POINT (-73.9602186 40.7141811)
234,node,2842215271,40.7345115,-73.8724042,,clothes,Casual Male,POINT (-73.87240420000001 40.7345115)
235,node,2870656985,40.7057929,-73.7944056,Jamaica,clothes,Hot Point,POINT (-73.7944056 40.7057929)
236,node,2870656990,40.705965,-73.7939312,Jamaica,clothes,Blue Angels,POINT (-73.7939312 40.705965)
237,node,2870657904,40.7064104,-73.7927893,Jamaica,clothes,Flashy Girl,POINT (-73.7927893 40.7064104)
238,node,2870682355,40.7065706,-73.7924481,Jamaica,clothes,Smart Menswear Inc.,POINT (-73.7924481 40.7065706)
239,node,2870695210,40.7044338,-73.7970711,Jamaica,clothes,The Children's Place,POINT (-73.7970711 40.7044338)
240,node,2883793011,40.8081207,-73.945604,,clothes,Marshalls,POINT (-73.945604 40.8081207)
241,node,2893229241,40.762835,-73.9743526,,clothes,Piaget,POINT (-73.9743526 40.762835)
242,node,2893229242,40.7626298,-73.974484,,clothes,Prada,POINT (-73.974484 40.7626298)
243,node,2893229243,40.7630564,-73.9735775,,clothes,Louis Vuitton,POINT (-73.9735775 40.7630564)
244,node,2893229244,40.7629,-73.9743016,,clothes,Bulgari,POINT (-73.9743016 40.7629)
245,node,2893229245,40.762766,-73.9744036,,clothes,Mikimoto,POINT (-73.9744036 40.762766)
246,node,2893229247,40.762322,-73.97415,,clothes,Gucci,POINT (-73.97414999999999 40.762322)
247,node,2895553235,40.7096972,-73.7952478,Jamaica,clothes,Parineeta The Bride,POINT (-73.7952478 40.7096972)
248,node,2895824212,40.7177291,-74.0007871,,clothes,DG Fashion Trading,POINT (-74.0007871 40.7177291)
249,node,2895940827,40.7067508,-74.0065914,,clothes,Dress Barn,POINT (-74.0065914 40.7067508)
250,node,2897923552,40.706867,-74.004015,,clothes,Superdry,POINT (-74.004015 40.706867)
251,node,2897923553,40.7066077,-74.0040941,,clothes,Christian Benner,POINT (-74.0040941 40.7066077)
252,node,2897923554,40.7066799,-74.0039868,,clothes,DFBK,POINT (-74.00398680000001 40.7066799)
253,node,2897923557,40.7067012,-74.0037324,,clothes,Lee Lee's Forest,POINT (-74.0037324 40.7067012)
254,node,2898706756,40.7072258,-74.0037268,,clothes,Guess,POINT (-74.0037268 40.7072258)
255,node,2898706757,40.7071343,-74.0036624,,clothes,Carlos Falchi Couture,POINT (-74.0036624 40.7071343)
256,node,2898706758,40.7071263,-74.0041026,,clothes,Abercrombie & Fitch,POINT (-74.0041026 40.7071263)
257,node,2955441511,40.7599179,-73.9716513,New York,clothes,Stefano Ricci,POINT (-73.9716513 40.7599179)
258,node,2975745775,40.7614855,-73.9689095,New York,clothes,American Eagle Outfitters,POINT (-73.9689095 40.7614855)
259,node,2985573622,40.741307,-74.0057665,New York,clothes,Hugo Boss,POINT (-74.00576649999999 40.741307)
260,node,2991899684,40.7203613,-73.9958453,New York,clothes,Marmalade Vintage,POINT (-73.9958453 40.7203613)
